"vp";"nodd";"rfpbase";"audiofreq";"N";"p";"RT"
"S04";"1";"0,5";"2000";"16";"0,187500000000000";"1,188518434762955"
"S04";"1";"0,5";"2200";"16";"0,187500000000000";"0,986328884959221"
"S04";"1";"0,5";"2400";"16";"0,250000000000000";"0,998834177851677"
"S04";"1";"1,5";"2000";"16";"0,875000000000000";"1,248918443918228"
"S04";"1";"1,5";"2200";"16";"0,875000000000000";"1,903035148978233"
"S04";"1";"1,5";"2400";"16";"1,000000000000000";"0,975022673606873"
"S04";"3";"0,5";"2000";"16";"0,250000000000000";"1,283540129661560"
"S04";"3";"0,5";"2200";"16";"0,250000000000000";"1,130004435777664"
"S04";"3";"0,5";"2400";"16";"0,250000000000000";"1,036496102809906"
"S04";"3";"1,5";"2000";"16";"1,000000000000000";"0,979553624987602"
"S04";"3";"1,5";"2200";"16";"0,937500000000000";"1,081869378685951"
"S04";"3";"1,5";"2400";"16";"1,000000000000000";"1,148672565817833"
"S04";"5";"0,5";"2000";"16";"0,250000000000000";"1,036122366786003"
"S04";"5";"0,5";"2200";"16";"0,312500000000000";"1,143748208880424"
"S04";"5";"0,5";"2400";"16";"0,437500000000000";"1,130713507533073"
"S04";"5";"1,5";"2000";"16";"0,812500000000000";"0,996771201491356"
"S04";"5";"1,5";"2200";"16";"1,000000000000000";"1,066758766770363"
"S04";"5";"1,5";"2400";"16";"1,000000000000000";"1,127673953771591"
"S04";"7";"0,5";"2000";"16";"0,375000000000000";"1,114858731627464"
"S04";"7";"0,5";"2200";"16";"0,312500000000000";"1,104604482650757"
"S04";"7";"0,5";"2400";"16";"0,187500000000000";"1,036493077874184"
"S04";"7";"1,5";"2000";"16";"0,875000000000000";"1,032876402139664"
"S04";"7";"1,5";"2200";"16";"0,937500000000000";"1,110152557492256"
"S04";"7";"1,5";"2400";"16";"0,937500000000000";"1,051181599497795"
"S04";"9";"0,5";"2000";"16";"0,437500000000000";"1,275809049606323"
"S04";"9";"0,5";"2200";"16";"0,375000000000000";"1,010338649153709"
"S04";"9";"0,5";"2400";"16";"0,437500000000000";"1,133158817887306"
"S04";"9";"1,5";"2000";"16";"0,875000000000000";"1,003652662038803"
"S04";"9";"1,5";"2200";"16";"1,000000000000000";"1,024789631366730"
"S04";"9";"1,5";"2400";"16";"0,875000000000000";"0,986821845173836"
"S04";"11";"0,5";"2000";"16";"0,312500000000000";"1,021499559283257"
"S04";"11";"0,5";"2200";"16";"0,375000000000000";"1,051314577460289"
"S04";"11";"0,5";"2400";"16";"0,250000000000000";"1,001181989908218"
"S04";"11";"1,5";"2000";"16";"0,750000000000000";"1,013905763626099"
"S04";"11";"1,5";"2200";"16";"1,000000000000000";"1,062349930405617"
"S04";"11";"1,5";"2400";"16";"0,937500000000000";"1,053958207368851"
"S05";"1";"0,5";"2000";"16";"0,187500000000000";"1,598486512899399"
"S05";"1";"0,5";"2200";"16";"0,375000000000000";"1,215681925415993"
"S05";"1";"0,5";"2400";"16";"0,312500000000000";"1,352592155337334"
"S05";"1";"1,5";"2000";"16";"0,750000000000000";"1,318020656704903"
