"vp";"rfp05b0";"rfp05b1";"rfp15b0";"rfp15b1"
"S01";"0,334920634920635";"0,011309523809523804";"0,667658730158730";"0,014880952380952375"
"S03";"0,151686507936508";"-0,003869047619047623";"0,858432539682540";"0,005654761904761889"
"S04";"0,218154761904762";"0,013988095238095239";"0,953869047619048";"-0,004464285714285729"
"S05";"0,263392857142857";"-0,007440476190476200";"0,778472222222222";"0,006249999999999986"
"S06";"0,297222222222222";"0,008333333333333326";"0,813095238095239";"-0,003571428571428612"
"S07";"0,178273809523810";"0,003273809523809521";"0,990476190476191";"-0,005357142857142859"
"S08";"0,397817460317461";"0,008928571428571409";"0,862400793650794";"0,002678571428571389"
"S09";"0,266964285714286";"0,012797619047619023";"0,891468253968254";"0,005357142857142834"
"S11";"0,300992063492064";"0,006547619047619038";"0,848115079365080";"0,005059523809523793"
"S12";"0,111904761904762";"-0,004761904761904766";"0,807837301587302";"-0,003273809523809534"
"S13";"0,324107142857143";"0,003273809523809523";"0,942559523809524";"0,000892857142857129"
"S14";"0,175496031746032";"-0,000892857142857144";"0,916071428571429";"0,003571428571428581"
"S15";"0,277281746031746";"-0,007440476190476196";"0,612301587301587";"0,013690476190476178"
"S16";"0,512202380952381";"-0,000297619047619065";"0,492658730158731";"0,002380952380952355"
"S17";"0,268154761904762";"0,005654761904761902";"0,733432539682540";"0,005654761904761892"
"S18";"0,204662698412698";"0,011607142857142854";"0,845734126984127";"-0,001488095238095245"
"S19";"0,442900119498925";"-0,002565528986802877";"0,753380809215453";"-0,012457611999471416"
"S20";"0,325892857142857";"-0,007440476190476200";"0,847916666666667";"0,006250000000000008"
"S21";"0,276190476190476";"-0,011309523809523816";"0,956448412698413";"0,000892857142857132"
"S22";"0,166269841269841";"0,002380952380952376";"0,688690476190477";"-0,007142857142857152"
